time_min,LituBD5_mass,LituLD2_mass,LituBL2t_mass,LituLL21_mass
2404,5.3063,1.5571,4.001415621,
2408,5.3245,1.5937,3.976287953,
2412,5.3063,1.4942,4.020744523,
2416,5.3063,1.5403,4.002997102,
2420,5.3063,1.5272,3.878412896,
2424,5.2519,1.5716,3.849067945,
2428,5.3427,1.5584,3.964163262,
2432,5.3063,1.5362,3.901080607,
2436,5.2882,1.5600,3.932709858,
2440,5.3245,1.5515,4.054130913,
2444,5.3063,1.5362,3.964690423,
2448,5.3427,1.5740,3.887725938,
2452,5.3245,1.6266,3.892821697,
2456,5.2882,1.5302,3.937454113,
2460,5.3245,1.5252,3.911799285,
2464,5.3063,1.6184,3.853988046,
2468,5.3245,1.5362,3.840282063,
2472,5.3971,1.4824,3.903013403,
2476,5.2882,1.5442,3.930776873,
2480,5.3245,1.5512,3.837997764,
2484,5.2519,1.6365,3.971016349,
2488,5.2700,1.5523,4.009674342,
2492,5.3063,1.5538,3.932358355,
2496,5.3063,1.5108,3.863125431,
2500,5.3790,1.5908,3.818668672,
2504,5.3245,1.5528,3.841863544,
2508,5.2700,1.4999,3.930249713,
